id,timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
0,0,0.185321,0.224052,1.000413,0.0,0.0,0.0
1,10,0.194083,0.298777,0.956774,0.0,0.0,0.0
2,20,,,,,,
3,30,0.1544345,0.3678365,0.925994,0.0,0.0,0.0
4,40,0.073502,0.467691,0.887156,0.0,0.0,0.0
5,50,0.041789,0.471254,0.885015,0.0,0.0,0.0
6,60,0.041789,0.471254,0.885015,0.0,0.0,0.0
7,70,0.041789,0.471254,0.885015,0.0,0.0,0.0
8,80,0.074717,0.43333350000000004,0.896995,0.0,0.0,0.0
9,90,0.13185000000000002,0.36355499999999996,0.889656,0.0,0.0,0.0
10,100,0.149434,0.343425,0.883288,0.0,0.0,0.0
11,110,0.164832,0.296177,0.8925535,0.0,0.0,0.0
12,120,0.123547,0.267278,1.054847,0.0,0.0,0.0
13,130,0.123547,0.267278,1.054847,0.0,0.0,0.0
14,140,0.002951,0.276758,1.175229,0.0,0.0,0.0
15,150,-0.05474,0.308976,1.210398,0.0,0.0,0.0
16,160,-0.127936,0.384404,1.2313,0.0,0.0,0.0
17,170,-0.140872,0.418043,1.228134,0.0,0.0,0.0
18,180,-0.140872,0.418043,1.228134,0.0,0.0,0.0
19,190,-0.107546,0.437263,1.2219645,0.0,0.0,0.0
20,200,-0.0161085,0.4243655,1.2795640000000001,0.0,0.0,0.0
21,210,0.043731,0.406422,1.336804,0.0,0.0,0.0
22,220,-0.005917,0.397554,1.751881,0.0,0.0,0.0
23,230,-0.005917,0.397554,1.751881,0.0,0.0,0.0
24,240,-0.1916435,0.45774499999999996,1.8405200000000002,0.0,0.0,0.0
25,250,-0.37737,0.517936,1.929159,0.0,0.0,0.0
26,260,-0.314832,0.613456,1.8818044999999999,0.0,0.0,0.0
27,270,-0.260046,0.644343,1.837615,0.0,0.0,0.0
28,280,-0.118654,0.706621,1.680933,0.0,0.0,0.0
29,290,-0.118654,0.706621,1.680933,0.0,0.0,0.0
30,300,-0.1399085,0.680329,1.759274,0.0,0.0,0.0
31,310,-0.095,0.612844,1.948119,0.0,0.0,0.0
32,320,-0.058609,0.592553,1.950872,0.0,0.0,0.0
33,330,-0.058609,0.592553,1.950872,0.0,0.0,0.0
