id,timestamp,id,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
0,1778415710830,0.0,0.36343583,0.42179292,0.4867357,0.068264194,-2.4732406,0.78984874
1,1778415710840,1.0,0.3536182,0.3811808,0.39843786,-0.102319926,-2.2649355,0.8335256
2,1778415710850,2.0,0.36581403,0.32251883,0.33794656,-0.34666604,-2.1633792,0.97433007
3,1778415710860,3.0,0.39587677,0.2961758,0.313189,-0.4972443,-2.1287127,1.1691961
4,1778415710870,4.0,0.46069762,0.29318783,0.3144086,-0.57757306,-2.146275,1.2825116
5,1778415710880,5.0,0.5394217,0.31544524,0.27074748,-0.82344633,-2.3921483,1.4645494
6,1778415710890,6.0,0.6744906,0.31062788,0.3626431,-1.077719,-2.6222918,1.6404786
7,1778415710900,7.0,0.6886987,0.35252056,0.36233822,-1.2053899,-2.7229319,1.6771306
8,1778415710910,8.0,0.78559464,0.36965573,0.43100074,-1.3394748,-2.9164233,1.7221818
9,1778415710920,9.0,0.8884665,0.41374367,0.5966811,-1.4538593,-2.8614454,1.6598736
10,1778415710930,10.0,0.9406037,0.41484126,0.6752833,-1.4743233,-2.627484,1.5282321
11,1778415710940,11.0,0.9838988,0.38361996,0.67138064,-1.45783,-2.3380868,1.4318681
12,1778415710950,12.0,0.980606,0.34306878,0.6186337,-1.3518448,-2.3084598,1.4625641
13,1778415710960,13.0,0.99408233,0.33227548,0.59430295,-1.1233811,-2.3796256,1.5409076
14,1778415710970,14.0,0.98761857,0.357094,0.56454515,-0.7324274,-2.545781,1.5624406
15,1778415710980,15.0,1.0104858,0.33855635,0.5611303,-0.40698898,-2.6887233,1.5541939
16,1778415710990,16.0,1.0795752,0.32940948,0.63826895,-0.02107485,-2.683531,1.5625933
17,1778415711000,17.0,1.1014667,0.31959182,0.62564623,0.08017606,-2.547919,1.5384641
18,1778415711010,18.0,1.1248218,0.28776067,0.550337,0.105374254,-2.43216,1.5604553
19,1778415711020,19.0,1.089271,0.28824854,0.55484945,-0.19425514,-2.2533293,1.5807666
20,1778415711030,,,,,,,
