id,timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
0,1778360930.6089194,0.5430274,1.1675699,2.0969398,0.26045695,-2.5122912,-3.0743508
1,1778360930.6191916,0.545468,1.2339534,2.3346517,0.28921908,-1.3948296,-2.977412
2,1778360930.6297057,0.528384,1.2695858,2.4395962,0.30839384,-0.69921243,-2.925214
3,1778360930.6401916,0.51618105,1.2861817,2.5665061,0.39787596,-0.09946899,-2.8911254
4,1778360930.6504865,0.58158845,1.2930154,2.8461957,0.6439519,0.09440899,-2.9326708
5,1778360930.6609566,0.71874857,1.2949678,3.1815302,1.0253162,0.101865835,-3.006174
6,1778360930.6712375,0.97793734,1.1582958,3.7731252,2.5486434,0.71119666,-3.2831426
7,1778360930.681273,1.0892274,1.0460293,3.8028998,3.2538478,0.98603463,-3.184073
8,1778360930.6913843,1.2888663,0.94254905,3.708206,3.881288,1.2757864,-3.167029
9,1778360930.7014754,1.2888663,0.94254905,3.708206,3.881288,1.2757864,-3.167029
10,1778360930.711873,1.6588572,0.8327233,3.3684783,4.4203115,1.3002875,-3.5238922
11,1778360930.7221363,1.8697226,0.72045696,3.0150833,4.283958,1.4121401,-4.161985
12,1778360930.7334192,1.8697226,0.72045696,3.0150833,4.283958,1.4121401,-4.161985
13,1778360930.7437434,1.6881441,0.61746484,2.8920784,4.0442734,1.8169403,-4.371842
14,1778360930.7540877,1.5246257,0.55010504,2.9184365,3.8908753,2.3506374,-4.331362
15,1778360930.7642348,1.6647146,0.22746135,2.9145317,3.6565175,3.1911304,-4.004326
16,1778360930.7742765,1.8062676,0.052716363,2.9052575,3.5020542,3.3296146,-4.052263
17,1778360930.784539,1.7174308,-0.07370529,3.0175238,3.5244248,3.4009874,-4.1268315
18,1778360930.7947345,1.7174308,-0.07370529,3.0175238,3.5244248,3.4009874,-4.1268315
19,1778360930.8052273,1.4392056,-0.35290676,2.9872608,4.0155115,3.6097791,-3.9350839
20,1778360930.815264,1.3391421,-0.42465958,2.877435,4.499141,3.521362,-3.6346796
21,1778360930.8257663,1.5041249,-0.50031734,2.6372826,4.8762445,3.9176402,-3.5324142
22,1778360930.836186,1.5207207,-0.5706058,2.2668037,5.16067,4.1818256,-3.5856774
23,1778360930.846204,1.4592183,-0.5198419,2.0534978,5.461074,4.240415,-3.701791
24,1778360930.8563297,1.3591548,-0.47932845,1.7098651,5.6485605,4.0028615,-3.8669071
25,1778360930.86679,1.274711,-0.5315567,1.3413386,5.573992,4.192478,-3.9904776
26,1778360930.8769119,1.125348,-0.56767714,1.125592,5.594232,4.3522677,-4.023501
27,1778360930.8872666,1.0160104,-0.5852493,0.97476465,5.679453,4.3022003,-3.9744987
28,1778360930.8976727,0.9169231,-0.5940353,0.7726852,5.798763,4.042276,-3.8317533
29,1778360930.9083133,0.9130182,-0.592571,0.6799435,5.9308553,3.5384064,-3.71777
30,1778360930.9186819,0.9130182,-0.592571,0.6799435,5.9308553,3.5384064,-3.71777
31,1778360930.9287932,0.856885,-0.69898,0.58329684,6.3835926,1.8659425,-3.7550542
32,1778360930.9389663,0.8891005,-0.733148,0.56816524,6.567883,1.2267842,-3.8157744
33,1778360930.949025,0.98379475,-0.7678041,0.53936654,6.7638917,0.7271756,-3.9457364
34,1778360930.9595075,1.0482259,-0.8283303,0.5012936,6.8565693,0.30000487,-4.0948734
35,1778360930.9695575,1.061405,-0.80685323,0.38561043,6.8150244,-0.36471963,-4.4879556
36,1778360930.9800744,1.1263242,-0.78635246,0.39537275,6.6925187,-0.7588672,-4.805404
37,1778360930.990213,1.1585398,-0.7394935,0.39586085,6.472009,-1.2052126,-5.2016826
38,1778360931.0006096,1.1087521,-0.70142055,0.3441207,6.1684093,-1.4672675,-5.478651
39,1778360931.0108967,1.0511546,-0.65993077,0.29384494,5.8509607,-1.5631412,-5.5660024
40,1778360931.0210288,1.0418804,-0.53009236,0.21965154,5.257609,-1.6686023,-5.5244575
41,1778360931.0315533,1.1795286,-0.39586085,0.17962612,4.710063,-1.7133434,-5.5095434
42,1778360931.0415795,1.3332847,-0.3099527,0.16303024,4.1774316,-1.7634108,-5.552154
43,1778360931.051743,1.4606826,-0.29823795,0.1244692,3.72789,-1.647297,-5.6384406
44,1778360931.0618503,1.4953387,-0.36706212,0.021965152,3.4178984,-1.3916337,-5.666137
45,1778360931.072365,1.3620834,-0.47542354,-0.21184167,3.036534,-0.94209254,-5.5745244
46,1778360931.0826056,1.1775762,-0.6238103,-0.49201941,2.540121,-0.50853026,-5.2879686
47,1778360931.0926976,1.0760484,-0.827354,-0.67555046,2.1459737,-0.43502703,-5.041893
48,1778360931.1031172,0.86225426,-1.308635,-0.8581053,1.6570176,-0.7652588,-4.7809033
49,1778360931.113205,0.86225426,-1.308635,-0.8581053,1.6570176,-0.7652588,-4.7809033
50,1778360931.1234715,0.19158493,-2.175038,-1.1207108,1.6580828,-1.1040126,-4.630701
51,1778360931.1336613,-0.21550256,-2.718798,-1.4047935,1.9574219,-1.0954905,-4.376103
