id,timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
0,1778360100.6289206,0.3014107,1.5224291,0.5520575,1.3572791,-0.9515467,-0.32157648
1,1778360100.6391397,0.26480213,1.5277983,0.52960426,1.7056203,-1.1251848,-0.45047337
2,1778360100.6495209,0.2238005,1.518036,0.47884035,2.0752668,-1.3595427,-0.5697829
3,1778360100.6600606,0.13105874,1.4658079,0.37975308,2.6995113,-1.8101492,-0.77963984
4,1778360100.6702602,0.036852647,1.4174845,0.30946457,3.1160293,-2.112684,-0.909602
5,1778360100.6804664,0.036852647,1.4174845,0.30946457,3.1160293,-2.112684,-0.909602
6,1778360100.690596,-0.1696198,1.330112,0.09225364,3.6444001,-2.545181,-1.0384989
7,1778360100.700932,-0.44003522,1.2075952,-0.119588055,3.7424042,-2.859434,-1.1141326
8,1778360100.7110417,-0.5649925,1.1446284,-0.15912533,3.6454654,-2.944655,-1.1002842
9,1778360100.7211978,-0.5649925,1.1446284,-0.15912533,3.6454654,-2.944655,-1.1002842
10,1778360100.7320385,-0.67091334,1.0787331,-0.14252943,3.5613096,-2.9670255,-1.0566083
11,1778360100.7423713,-0.80465674,0.97134787,-0.08297946,3.4878063,-2.9499815,-0.97777885
12,1778360100.75284,-0.8539563,0.85859346,-0.06687169,3.3951285,-2.9233499,-0.71785456
13,1778360100.7630644,-0.844194,0.80441266,-0.005857374,3.3961937,-2.9723518,-0.63902503
14,1778360100.7734108,-0.844194,0.80441266,-0.005857374,3.3961937,-2.9723518,-0.63902503
15,1778360100.7835038,-0.8163715,0.77610207,0.04490653,3.4441304,-3.0245497,-0.6017408
16,1778360100.7938032,-0.7895252,0.6667644,0.13764828,3.748796,-3.207775,-0.6017408
17,1778360100.8039763,-0.83784854,0.6277153,0.18206671,3.9991329,-3.355847,-0.56126076
18,1778360100.8144388,-0.83491987,0.5554743,0.11617125,4.2452087,-3.4431984,-0.46538705
19,1778360100.8249054,-0.8319912,0.5095915,0.060038086,4.3240385,-3.4155016,-0.3822965
20,1778360100.835342,-0.8520039,0.47932845,0.020500809,4.3613224,-3.3515856,-0.2821617
21,1778360100.8453877,-0.88958865,0.4271002,-0.04637088,4.367714,-3.2482553,-0.07337003
22,1778360100.85572,-0.8505395,0.38902727,-0.093717985,4.364518,-3.1417289,0.20040272
23,1778360100.8662477,-0.73485637,0.3807293,-0.12544543,4.3751707,-3.0032446,0.42517334
24,1778360100.8767214,-0.63381666,0.3773125,-0.18401916,4.346409,-2.859434,0.54128706
25,1778360100.8871868,-0.54107493,0.38805103,-0.25723633,4.2441435,-2.6730127,0.6222471
26,1778360100.8972173,-0.44442827,0.38756293,-0.34119204,3.9863498,-2.3449116,0.70320714
27,1778360100.907243,-0.40684342,0.37682438,-0.38756293,3.7466655,-2.0775304,0.767123
28,1778360100.9173026,-0.41416514,0.36315718,-0.40171823,3.530417,-1.8484987,0.90241146
29,1778360100.9275928,-0.38048524,0.3436326,-0.4080637,3.3322778,-1.6610123,1.1037463
30,1778360100.9379685,-0.27505252,0.3533949,-0.42075467,3.1842062,-1.5172018,1.2507527
31,1778360100.9479845,-0.11251039,0.38609856,-0.46322066,2.9807408,-1.3275849,1.3572791
32,1778360100.9580276,-0.0065895454,0.41001618,-0.51398456,2.682467,-1.1028142,1.4084117
33,1778360100.968443,0.04075756,0.44613665,-0.51740134,2.416151,-0.9867005,1.4382391
34,1778360100.9786875,0.108117364,0.47493544,-0.5188657,2.1722057,-0.87271726,1.4691317
35,1778360100.9890838,0.15692882,0.47688788,-0.5008055,1.9868499,-0.74914664,1.4915023
36,1778360100.999587,0.18377511,0.49299565,-0.4549227,1.841974,-0.60320556,1.5213296
37,1778360101.0099707,0.22526483,0.50617474,-0.4148973,1.6651403,-0.23888537,1.607616
38,1778360101.0201285,0.29311275,0.5051985,-0.39586085,1.6118771,-0.067377925,1.6363782
39,1778360101.0302994,0.39415246,0.52423495,-0.3704789,1.5980287,0.08921583,1.6086812
40,1778360101.0407608,0.47713193,0.53936654,-0.3743838,1.6054854,0.17763272,1.5479612
41,1778360101.0510201,0.6147802,0.5852493,-0.49690056,1.5202644,0.44714442,1.1559442
42,1778360101.0614183,0.48542988,0.56718904,-0.5593792,1.3807149,0.534496,1.1378347
43,1778360101.0714886,0.48542988,0.56718904,-0.5593792,1.3807149,0.534496,1.1378347
44,1778360101.0816011,0.41172457,0.58183247,-0.60038084,1.2241211,0.530235,1.251818
45,1778360101.09168,0.49909708,0.60184515,-0.65212095,0.88217145,0.49827707,1.4627402
46,1778360101.1018744,0.59916055,0.63406074,-0.60086894,0.88217145,0.49827707,1.4627402
47,1778360101.1122034,0.6343048,0.6653,-0.5354616,0.6286387,0.7933551,1.4520875
48,1778360101.1222277,0.6343048,0.6653,-0.5354616,0.6286387,0.7933551,1.4520875
49,1778360101.1326993,0.7490117,0.6892177,-0.43442193,0.8406262,1.0181258,1.244361
