id,timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
0,0,0.17256,0.4169155,1.4683765,1.422863,0.9026240000000001,-0.141859
1,10,0.0583495,0.41520599999999996,1.609556,1.412182,0.665569,-0.067291
2,20,-0.070147,0.349912,1.93952,1.763725,0.045528,0.228844
3,30,-0.059158,0.32477449999999997,1.9550115,1.9549175,-0.08918799999999999,0.33432
4,40,-0.048169,0.299637,1.970503,2.14611,-0.223904,0.439796
5,50,-0.048169,0.299637,1.970503,2.14611,-0.223904,0.439796
6,60,0.0830135,0.2041075,1.90205,3.2145595,-0.05187,0.714102
7,70,0.152932,0.182999,1.83726,3.341331,0.014687,0.723114
8,80,0.152932,0.182999,1.83726,3.341331,0.014687,0.723114
9,90,0.330101,0.268165,1.407952,3.847351,0.48666,0.623112
10,100,0.325706,0.317708,1.216374,3.933735,0.989475,0.249138
11,110,0.2728665,0.301728,1.1519504999999999,3.9827345000000003,1.0176465,0.1799105
12,120,0.220027,0.285748,1.087527,4.031734,1.045818,0.110683
13,130,0.1402335,0.2741485,0.8313885,4.1292,1.004295,0.149536
14,140,0.033089,0.315022,0.504462,3.92519,0.51857,0.402546
15,150,0.0345545,0.3096495,0.5391235,3.8329985000000004,0.427513,0.45475
16,160,0.03602,0.304277,0.573785,3.740807,0.336456,0.506954
17,170,0.162212,0.300858,0.625037,3.70142,0.293732,0.561295
18,180,0.207847,0.31087,0.589628,3.734999,0.3444005,0.593739
19,190,0.207847,0.31087,0.589628,3.719578,0.302277,0.612431
20,200,0.2451795,0.306108,0.5162905,3.719578,0.302277,0.612431
21,210,0.2682415,0.2995145,0.419769,3.778191,0.824318,0.289593
22,220,0.160502,0.297683,0.268959,3.769646,0.945682,0.16716
23,230,0.054213,0.317708,0.0632025,3.621578,1.011772,0.18198
24,240,0.04823,0.325278,0.041728,3.546944,0.990543,0.217228
25,250,0.105099,0.355773,-0.102016,3.546944,0.990543,0.217228
26,260,0.17622300000000002,0.393609,-0.29605000000000004,3.2859895000000003,0.74441,0.301342
27,270,0.20258150000000003,0.411787,-0.4379775,2.649994,0.694275,0.165024
28,280,0.227353,0.425584,-0.576471,2.649994,0.694275,0.165024
29,290,0.227353,0.425584,-0.576471,2.649994,0.694275,0.165024
30,300,0.227353,0.425584,-0.576471,2.649994,0.694275,0.165024
31,310,0.171217,0.481965,-0.470304,1.658249,0.864773,-0.085316
32,320,0.166119,0.485139,-0.459071,1.570931,0.837135,-0.107746
33,330,0.166119,0.485139,-0.459071,1.570931,0.837135,-0.107746
34,340,0.152688,0.49271,-0.510567,1.25557,0.875454,-0.17477
35,350,0.10925,0.532484,-0.584286,0.881128,0.807762,-0.17430299999999999
36,360,0.076283,0.596191,-0.688744,0.761299,0.747547,-0.167427
37,370,0.076283,0.596191,-0.688744,0.761299,0.747547,-0.167427
38,380,0.076283,0.596191,-0.688744,0.761299,0.747547,-0.167427
39,390,0.057998,0.572991,-0.633096,-0.255947,0.381184,-0.101337
40,400,0.077015,0.587644,-0.69897,-0.255947,0.381184,-0.101337
41,410,0.139012,0.531996,-0.570366,-0.5165005,0.40354749999999995,-0.023098
42,420,0.139012,0.531996,-0.570366,-0.543671,0.392933,-0.022564
43,430,0.13339600000000001,0.5230825,-0.6911705,-0.8142375,0.201139,-0.0927925
44,440,0.126314,0.523937,-0.710936,-0.87492,0.175571,-0.098133
45,450,0.121308,0.516367,-0.7305790000000001,-1.2951565,0.0493335,-0.08798600000000001
46,460,0.158304,0.480011,-0.677266,-1.715393,-0.076904,-0.077839
47,470,0.17684850000000002,0.463665,-0.624793,-1.9471075,-0.1967335,-0.1071455
48,480,0.206382,0.414351,-0.519358,-2.522888,-0.558491,-0.181179
49,490,0.206382,0.414351,-0.519358,-2.522888,-0.558491,-0.181179
50,500,0.210045,0.40714700000000004,-0.5125204999999999,-2.522888,-0.558491,-0.181179
51,510,0.213708,0.399943,-0.505683,-2.522888,-0.558491,-0.181179
52,520,0.213708,0.399943,-0.505683,-2.522888,-0.558491,-0.181179
53,530,0.213708,0.399943,-0.505683,-2.522888,-0.558491,-0.181179
54,540,0.213708,0.399943,-0.505683,-2.522888,-0.558491,-0.181179
55,550,0.213708,0.399943,-0.505683,-2.522888,-0.558491,-0.181179
56,560,0.213708,0.399943,-0.505683,-2.522888,-0.558491,-0.181179
57,570,0.213708,0.399943,-0.505683,-2.522888,-0.558491,-0.181179
58,580,0.213708,0.399943,-0.505683,-2.522888,-0.558491,-0.181179
59,590,0.213708,0.399943,-0.505683,-2.522888,-0.558491,-0.181179
60,600,0.213708,0.399943,-0.505683,-2.522888,-0.558491,-0.181179
61,610,0.213708,0.399943,-0.505683,-2.522888,-0.558491,-0.181179
62,620,0.213708,0.399943,-0.505683,-2.522888,-0.558491,-0.181179
63,630,0.213708,0.399943,-0.505683,-2.522888,-0.558491,-0.181179
64,640,0.213708,0.399943,-0.505683,-2.522888,-0.558491,-0.181179
65,650,0.213708,0.399943,-0.505683,-2.522888,-0.558491,-0.181179
66,660,0.213708,0.399943,-0.505683,-2.522888,-0.558491,-0.181179
67,670,0.213708,0.399943,-0.505683,-2.522888,-0.558491,-0.181179
68,680,0.213708,0.399943,-0.505683,-2.522888,-0.558491,-0.181179
69,690,0.213708,0.399943,-0.505683,-2.522888,-0.558491,-0.181179
70,700,0.213708,0.399943,-0.505683,-2.522888,-0.558491,-0.181179
71,710,0.213708,0.399943,-0.505683,-2.522888,-0.558491,-0.181179
72,720,0.213708,0.399943,-0.505683,-2.522888,-0.558491,-0.181179
73,730,0.213708,0.399943,-0.505683,-2.522888,-0.558491,-0.181179
74,740,0.213708,0.399943,-0.505683,-2.522888,-0.558491,-0.181179
75,750,0.213708,0.399943,-0.505683,-2.522888,-0.558491,-0.181179
76,760,0.213708,0.399943,-0.505683,-2.522888,-0.558491,-0.181179
77,770,0.213708,0.399943,-0.505683,-2.522888,-0.558491,-0.181179
78,780,0.213708,0.399943,-0.505683,-2.522888,-0.558491,-0.181179
79,790,0.213708,0.399943,-0.505683,-2.522888,-0.558491,-0.181179
