id,timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
0,0,0.107297,0.302079,0.79952,-0.854626,-0.247402,0.135117
1,10,0.150246,0.271584,0.784654,-0.849419,-0.416698,0.165024
2,20,0.150246,0.271584,0.784654,-0.849419,-0.416698,0.165024
3,30,0.1570835,0.23692249999999998,0.716308,-0.8360675,-0.4960725,0.1884555
4,40,0.1498795,0.2315655,0.5222735000000001,-0.859966,-0.577583,0.282116
5,50,0.144873,0.23938,0.507392,-0.859966,-0.577583,0.282116
6,60,0.240784,0.2417,0.447593,-1.0816,-0.654354,0.567703
7,70,0.336695,0.24402,0.387794,-1.045418,-0.41029,0.522842
8,80,0.4292015,0.2712175,0.5088425,-1.020384,-0.327244,0.4765125
9,90,0.465084,0.292097,0.586942,-0.791874,-0.155811,-0.058746
10,100,0.465084,0.292097,0.586942,-0.791874,-0.155811,-0.058746
11,110,0.4414115,0.29464599999999996,0.5971985,-0.791874,-0.155811,-0.058746
12,120,0.417739,0.297195,0.607455,-0.791874,-0.155811,-0.058746
13,130,0.443106,0.308428,0.622595,-0.161152,-0.419903,-0.448608
14,140,0.5758765,0.386039,0.6038065,0.0923255,-0.5195045,-0.6962775
15,150,0.725008,0.530775,0.50495,0.370369,-0.75449,-1.036606
16,160,0.725008,0.530775,0.50495,0.370369,-0.75449,-1.036606
17,170,0.725008,0.530775,0.50495,0.370369,-0.75449,-1.036606
18,180,1.1584370000000002,0.811303,0.628334,0.00494,-0.990343,-1.6475675
19,190,1.301204,0.911243,0.732181,-0.295467,-1.116581,-1.957054
20,200,1.301204,0.911243,0.732181,-0.295467,-1.116581,-1.957054
21,210,1.301204,0.911243,0.732181,-0.295467,-1.116581,-1.957054
22,220,1.301204,0.911243,0.732181,-0.295467,-1.116581,-1.957054
23,230,1.301204,0.911243,0.732181,-0.295467,-1.116581,-1.957054
24,240,1.301204,0.911243,0.732181,-0.295467,-1.116581,-1.957054
25,250,1.301204,0.911243,0.732181,-0.295467,-1.116581,-1.957054
26,260,1.301204,0.911243,0.732181,-0.295467,-1.116581,-1.957054
27,270,2.06095,0.826566,5.108357,1.669998,-4.282608,-3.183117
28,280,2.06095,0.826566,5.108357,1.669998,-4.282608,-3.183117
29,290,1.923555,0.757731,4.381304,2.95948,-3.484659,-3.2934
30,300,1.6094490000000001,1.1561785000000002,4.462471000000001,3.250809,-3.020229,-3.291798
31,310,1.610426,0.416793,3.316733,3.98901,-2.234097,-3.560295
32,320,1.610426,0.416793,3.316733,3.98901,-2.234097,-3.560295
33,330,1.936742,0.787035,4.599988,3.98901,-2.234097,-3.560295
