id,timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
0,0,0.284954,0.591795,0.674091,-0.61924,0.533524,-0.622311
1,10,0.37379799999999996,0.6108275,0.600632,-0.6506825,-0.09125699999999998,-0.5061534999999999
2,20,0.462642,0.62986,0.527173,-0.750351,0.396004,-0.619106
3,30,0.462642,0.62986,0.527173,-0.750351,0.396004,-0.619106
4,40,0.509987,0.633523,0.498357,-0.96117,-0.759697,-0.458221
5,50,0.601502,0.569573,0.69897,-1.187077,-0.846081,-0.682926
6,60,0.5886965,0.5610255,0.715087,-1.172123,-1.0095695,-0.928993
7,70,0.489474,0.517344,0.924247,-1.157169,-1.173058,-1.17506
8,80,0.489474,0.517344,0.924247,-0.8552264999999999,-1.2449555,-1.3673875
9,90,0.4047815,0.4600015,1.095326,0.12904150000000003,-1.3611125,-1.5218639999999999
10,100,0.320364,0.484407,1.392109,0.592937,-1.381874,-1.482945
11,110,0.33146,0.5300425,1.4661785,0.9860705000000001,-1.353636,-1.366854
12,120,0.342556,0.575678,1.540248,1.379204,-1.325398,-1.250763
13,130,0.342556,0.575678,1.540248,1.379204,-1.325398,-1.250763
14,140,0.597106,0.61765,1.046501,3.033581,-2.432232,-1.7206
15,150,0.597106,0.61765,1.046501,3.033581,-2.432232,-1.7206
16,160,0.46484,0.760173,0.568413,3.255081,-3.142796,-2.034759
17,170,0.478622,0.9769185,0.5462054999999999,2.6463219999999996,-2.951002,-2.0555874999999997
18,180,0.511696,1.105537,0.56768,2.264404,-2.740116,-2.058258
19,190,0.461665,1.298091,0.891035,1.79884,-2.351322,-2.035828
20,200,0.3196155,1.550795,1.437241,1.706181,-2.3353005,-1.979351
21,210,0.117034,1.871876,2.403719,1.747704,-2.398186,-1.935692
22,220,0.117034,1.871876,2.403719,2.248383,-3.026638,-1.688557
23,230,0.117034,1.871876,2.403719,2.248383,-3.026638,-1.688557
24,240,0.558553,2.263577,2.96041,4.429073,-5.051651,-1.222057
25,250,1.20798,2.5115345,2.808119,4.8929025,-5.0650695,-1.571398
26,260,1.454228,2.577683,2.761507,5.031891,-4.940968,-1.841965
27,270,1.454228,2.577683,2.761507,5.031891,-4.940968,-1.841965
28,280,1.454228,2.577683,2.761507,4.877548,-3.843746,-2.695255
29,290,1.087435,2.192789,2.639955,4.840164,-3.651886,-2.771892
30,300,0.850681,2.002921,2.638489,4.840164,-3.651886,-2.771892
31,310,0.4968,1.67517,2.689009,5.091572,-3.523045,-2.827301
32,320,0.4968,1.67517,2.689009,5.091572,-3.523045,-2.827301
33,330,0.143652,1.309568,2.20799,5.659409,-4.0312,-2.891254
34,340,0.076283,1.166038,1.919495,5.6465914999999995,-3.944349,-2.9338455000000003
35,350,0.076283,1.166038,1.919495,5.633774,-3.857498,-2.976437
36,360,0.030159000000000002,1.0126635,1.708275,5.3003885,-3.389864,-2.9434585
37,370,-0.015965,0.859289,1.497055,4.7320845,-2.517414,-2.8672885
38,380,0.11972,0.412153,1.38112,4.409847,-1.902847,-2.829437
39,390,0.11972,0.412153,1.38112,4.409847,-1.902847,-2.829437
40,400,0.11972,0.412153,1.38112,4.409847,-1.902847,-2.829437
41,410,0.1829385,0.0847535,1.1833155,4.321461,-1.462784,-3.039322
42,420,0.19466,-0.043743,1.080201,4.321461,-1.462784,-3.039322
43,430,0.19466,-0.043743,1.080201,4.321461,-1.462784,-3.039322
44,440,0.18245,-0.217249,0.746314,4.242554,-1.442623,-3.103275
45,450,0.355605,-0.298172,0.4560185,3.9767935000000003,-1.194954,-3.2007405
46,460,0.375004,-0.309039,0.422227,3.711033,-0.947285,-3.298206
47,470,0.358429,-0.322928,0.393655,3.59808,-0.857697,-3.371639
48,480,0.358429,-0.322928,0.393655,3.59808,-0.857697,-3.371639
49,490,0.226864,-0.363465,0.339228,3.137856,-0.523243,-3.390865
50,500,0.315586,-0.41970850000000004,0.209526,2.6883795,0.08765200000000001,-3.2486059999999997
51,510,0.35794,-0.433002,0.165966,2.566948,0.306549,-3.222504
52,520,0.35794,-0.433002,0.165966,2.566948,0.306549,-3.222504
53,530,0.429675,-0.473265,0.013675,2.374153,0.327911,-3.019028
54,540,0.429675,-0.473265,0.013675,2.374153,0.327911,-3.019028
55,550,0.488986,-0.471586,-0.087119,2.3858354999999998,0.328445,-3.0100154999999997
56,560,0.503394,-0.507942,-0.2578475,2.356529,0.3912635,-3.0058095
57,570,0.517802,-0.544298,-0.428576,2.31554,0.453548,-3.010616
58,580,0.4628865,-0.5684585,-0.632363,2.31554,0.453548,-3.010616
59,590,0.407971,-0.592619,-0.83615,2.036495,0.731659,-2.886982
60,600,0.407971,-0.592619,-0.83615,2.036495,0.731659,-2.886982
61,610,0.164654,-0.674885,-1.231027,1.153297,0.80616,-2.539711
62,620,-0.04475,-0.814477,-1.267382,0.611095,1.053295,-2.16053
63,630,-0.04475,-0.814477,-1.267382,0.611095,1.053295,-2.16053
64,640,-0.04475,-0.814477,-1.267382,0.611095,1.053295,-2.16053
65,650,-0.04475,-0.814477,-1.267382,0.611095,1.053295,-2.16053
66,660,-0.04475,-0.814477,-1.267382,0.611095,1.053295,-2.16053
67,670,-0.04475,-0.814477,-1.267382,0.611095,1.053295,-2.16053
68,680,-0.1377455,-0.8202160000000001,-1.2931300000000001,0.611095,1.053295,-2.16053
69,690,-0.230741,-0.825955,-1.318878,0.611095,1.053295,-2.16053
70,700,-0.230741,-0.825955,-1.318878,0.611095,1.053295,-2.16053
71,710,-1.314101,-1.5942325,-1.9367265000000002,-0.036583000000000004,-0.7693099999999999,0.755091
72,720,-0.790851,-1.239604,-1.772821,-0.191059,-0.814037,1.373997
73,730,-0.9206905,-1.4230155,-1.949044,-0.334854,-0.7086275,1.3149165
74,740,-1.05053,-1.606427,-2.125267,-0.785465,-0.55315,1.881084
75,750,-0.810845,-1.547605,-1.752583,-3.02784,0.566502,2.63958
76,760,-0.8068310000000001,-1.5468875,-1.6938825,-2.6938535,0.40194549999999996,2.5346375
77,770,-0.802817,-1.54617,-1.635182,-2.359867,0.237389,2.429695
78,780,-0.6602785,-1.6426915,-1.278631,-4.3146515,0.749683,3.420906
79,790,-0.496388,-1.7931355,-0.9991715,-4.814262,0.661297,3.813572
80,800,-0.458674,-1.861222,-0.902757,-4.814262,0.661297,3.813572
81,810,-0.458674,-1.861222,-0.902757,-5.540848,-0.587196,4.518662
82,820,-0.14263,-2.039765,-0.265525,-6.0606860000000005,-2.2607325,5.424757
83,830,0.091179,-2.136286,0.220393,-6.280117,-3.284454,6.011219
84,840,0.732303,-2.160432,0.929619,-5.969029,-4.559517,6.843147
85,850,0.732303,-2.160432,0.929619,-5.969029,-4.559517,6.843147
86,860,1.3982135,-2.0369415,1.3354840000000001,-4.858522499999999,-4.875412,7.3294065
87,870,2.3247805,-1.6968585,1.680085,-3.748016,-5.191307,7.815666
88,880,2.243766,-1.327731,1.422848,-2.788181,-4.228268,7.573872
89,890,2.243766,-1.327731,1.422848,-2.640114,-3.413296,7.546234
90,900,2.2967275000000003,-1.2211975000000002,1.4370115,-2.6694205,-3.2577515,7.560587
91,910,2.349689,-1.114664,1.451175,-3.006477,-2.46521,7.40778
92,920,2.21814,-1.030093,1.4978945000000001,-3.0821135,-2.321415,7.171192
93,930,2.1225805,-0.9917685,1.538646,-3.13652,-2.093506,6.966648
94,940,2.119772,-0.985053,1.56415,-3.13652,-2.093506,6.966648
95,950,2.2470475,-0.904283,1.7208364999999999,-2.990055,-1.6471675000000001,6.8085005
96,960,2.193735,-0.698298,1.763297,-2.572956,-0.41563,6.332855
97,970,2.0823175000000003,-0.633874,1.654703,-2.520752,-0.04546149999999999,6.18906
98,980,1.953592,-0.430316,1.465797,-2.52182,0.498276,5.877972
99,990,1.953592,-0.430316,1.465797,-2.52182,0.498276,5.877972
100,1000,1.9694500000000001,-0.382605,1.4417585000000002,-2.52182,0.498276,5.877972
101,1010,1.985308,-0.334894,1.41772,-2.653866,0.571842,5.499859
102,1020,2.23644,0.206901,1.354013,-2.653866,0.571842,5.499859
103,1030,2.3668899999999997,0.473418,1.297404,-2.5686834999999997,0.749216,5.1877025
104,1040,2.49734,0.739935,1.240795,-2.483501,0.92659,4.875546
105,1050,2.49734,0.739935,1.240795,-2.483501,0.92659,4.875546
106,1060,2.8777014999999997,1.4147435,0.8033205000000001,-2.8350445,1.1907485,4.215651
107,1070,3.258063,2.089552,0.365846,-3.186588,1.454907,3.555756
108,1080,3.6809,2.641374,0.5231435,-3.8763235,1.3318729999999999,2.7892495000000004
109,1090,4.103737,3.193196,0.680441,-4.566059,1.208839,2.022743
110,1100,4.142779,3.2551775000000003,0.7959944999999999,-4.566059,1.208839,2.022743
111,1110,4.311187500000001,3.5160780000000003,2.199077,-5.2829645,2.2575955,0.638533
112,1120,4.309478,3.540239,2.466693,-5.263805,2.396584,0.512295
113,1130,4.4324645,3.6560525,4.270024,-3.658962,2.0893005,-0.018224500000000032
114,1140,4.489577,3.671071,4.540433,-2.054119,1.782017,-0.548744
115,1150,4.489577,3.671071,4.540433,-2.054119,1.782017,-0.548744
116,1160,4.4538165,3.3590405,3.7634865,0.5637645,-0.21856299999999995,-1.512785
117,1170,4.418056,3.04701,2.98654,3.181648,-2.219143,-2.476826
118,1180,4.418056,3.04701,2.98654,3.300409,-2.338972,-2.6515295
119,1190,4.2734575,2.869948,2.5146485,3.41917,-2.458801,-2.826233
120,1200,3.67858,2.045382,1.343299,2.352791,-1.09108,-3.725319
121,1210,3.67858,2.045382,1.343299,1.808987,-0.12910850000000001,-4.049692
122,1220,3.140662,1.398153,1.595163,1.265183,0.832863,-4.374065
123,1230,2.570311,0.943844,1.9099865,1.447363,1.399031,-4.6393585
124,1240,1.99996,0.489535,2.22481,1.629543,1.965199,-4.904652
125,1250,1.750538,0.231077,2.236776,1.629543,1.965199,-4.904652
126,1260,1.6653565000000001,0.012515499999999999,2.0678945,2.848196,1.3095094999999999,-4.9424364999999995
127,1270,1.580175,-0.206046,1.899013,4.066849,0.65382,-4.980221
128,1280,1.525016,-0.490603,1.514607,5.010662,-0.17704,-5.180492
129,1290,1.495742,-0.561392,1.378189,3.259354,1.240749,-4.898243
130,1300,1.491347,-0.676076,1.113626,3.259354,1.240749,-4.898243
131,1310,1.53625,-0.745154,0.891768,5.431366,-0.743809,-5.343514
132,1320,1.553802,-0.772261,0.800253,5.37075,-0.887604,-5.456467
133,1330,1.614577,-0.832274,0.604768,4.1078375000000005,-0.16856200000000002,-5.797863
134,1340,1.666807,-0.845949,0.663102,3.840942,-0.000267,-5.843124
135,1350,1.708046,-0.877207,0.820033,3.284988,0.600548,-5.985851
136,1360,1.726361,-0.907458,0.873483,3.18058,0.778523,-6.038055
137,1370,1.726361,-0.907458,0.873483,3.18058,0.778523,-6.038055
138,1380,1.6940195,-0.935648,0.977941,3.1230355000000003,0.8797265,-6.140327
139,1390,1.661678,-0.963838,1.082399,3.065491,0.98093,-6.242599
140,1400,1.623125,-1.069517,0.941097,3.169899,1.051159,-6.237259
141,1410,1.640951,-1.093174,0.922537,3.153877,1.42086,-6.160488
142,1420,1.640951,-1.093174,0.922537,3.153877,1.42086,-6.160488
143,1430,1.640951,-1.093174,0.922537,3.118763,1.8453694999999999,-6.0977365
144,1440,1.396871,-1.174951,0.948148,3.100605,1.835289,-6.113758
145,1450,1.198212,-1.181545,0.935236,3.1964685,1.8097210000000001,-6.0221005000000005
146,1460,1.025438,-1.228157,0.756571,3.590603,1.512451,-5.561809
147,1470,0.999309,-1.255721,0.64088,3.689671,1.400566,-5.465946
148,1480,0.999309,-1.255721,0.64088,3.930531,1.254635,-5.284901
149,1490,0.839936,-1.358226,0.086143,3.866577,1.266384,-5.331764
150,1500,0.203696,-1.5821595,-1.0931435,3.5842609999999997,1.2578390000000002,-5.249186
151,1510,-0.036691,-1.641104,-1.412622,3.348808,1.306839,-5.224152
152,1520,-0.548998,-1.745073,-1.971999,2.477493,1.339817,-4.949379
153,1530,-0.733127,-1.8330475000000002,-2.0958555,1.2753295,1.443157,-4.395962
154,1540,-1.103247,-2.197307,-2.084973,1.242752,1.248226,-4.430542
155,1550,-1.200379,-2.286868,-1.92122,0.29573450000000007,1.892233,-3.7461469999999997
156,1560,-1.4295485,-2.4143875,-1.6816874999999998,-0.639534,2.6432515,-2.9083439999999996
157,1570,-1.561586,-2.452346,-1.605908,-0.627785,2.750263,-2.754936
158,1580,-1.6272305,-2.4551540000000003,-1.7694169999999998,-0.519638,2.8030014999999997,-2.092838
159,1590,-1.692875,-2.457962,-1.932926,-0.554352,2.529831,-0.737267
160,1600,-1.799653,-2.2157285,-2.2912025,-0.554352,2.529831,-0.737267
161,1610,-1.3695045,-1.8975935000000002,-2.2436135000000004,-1.689358,1.9406984999999999,0.8392715
162,1620,-1.158162,-1.825355,-2.184791,-2.385502,1.744633,1.67654
163,1630,-1.159872,-1.7849705,-2.1577155,-2.962885,1.9614600000000002,2.0121955
164,1640,-1.209903,-1.768731,-2.157227,-3.246269,2.088699,2.160263
165,1650,-1.209903,-1.768731,-2.157227,-3.246269,2.088699,2.160263
166,1660,-1.382081,-1.8696625,-2.005791,-4.1522310000000004,1.65678,2.8393175
167,1670,-1.363415,-1.938604,-1.866809,-5.058193,1.224861,3.518372
168,1680,-0.776931,-2.072824,-1.200287,-5.909347,0.001869,4.564591
169,1690,-0.291273,-2.131402,-0.721192,-6.13205,-1.017513,5.099316
170,1700,0.181473,-2.1622785,-0.31007650000000003,-6.014824000000001,-2.6591395,5.694255500000001
171,1710,0.909503,-2.168002,0.275522,-5.920029,-3.172569,5.882244
172,1720,0.909503,-2.168002,0.275522,-5.784779,-3.58593,6.06329
173,1730,1.347954,-2.0907575,0.535201,-5.5418495,-3.89802,6.2667660000000005
174,1740,2.021175,-1.914916,0.940608,-5.29892,-4.21011,6.470242
175,1750,2.021175,-1.914916,0.940608,-4.525604,-3.474045,6.342468
176,1760,2.583971,-1.391437,1.286186,-4.525604,-3.474045,6.342468
177,1770,2.583971,-1.391437,1.286186,-4.525604,-3.474045,6.342468
178,1780,2.583971,-1.391437,1.286186,-4.525604,-3.474045,6.342468
179,1790,2.3506660000000004,-1.0139915,1.1811175,-4.117584,-1.540623,5.601063
180,1800,2.285006,-0.956024,1.080445,-4.548969,-0.757694,5.482769
181,1810,2.124656,-0.903795,1.072142,-4.675808,-0.596809,5.398655
182,1820,2.06707,-0.898056,1.1529275,-4.7631265,-0.516901,5.2404405
183,1830,1.801545,-0.775924,1.424313,-4.700241,-0.869446,4.709454
184,1840,1.801545,-0.775924,1.424313,-4.700241,-0.869446,4.709454
185,1850,1.801545,-0.775924,1.424313,-4.613991,-0.869446,4.709454
186,1860,1.579931,-0.678029,1.354257,-4.058971,-1.382942,4.545364
187,1870,1.583594,-0.649488,1.259079,-3.589268,-1.901779,4.560318
188,1880,1.583594,-0.649488,1.259079,-3.589268,-1.901779,4.560318
189,1890,1.766624,-0.458643,0.873971,-3.567905,-2.05719,4.697704
190,1900,1.939673,-0.30562,0.765851,-4.056835,-0.974922,4.123459
191,1910,2.433146,0.186907,1.061886,-4.079266,-0.525379,3.897686
192,1920,2.433146,0.186907,1.061886,-4.079266,-0.525379,3.897686
193,1930,2.345782,0.559072,1.126324,-4.079266,-0.525379,3.897686
194,1940,2.3382115,0.928337,1.1984405,-4.203367,-0.441265,2.861147
195,1950,2.353352,1.012526,1.202943,-4.194355,-0.558491,2.802601
196,1960,2.5531105,1.5477575,1.2492044999999998,-4.231605,-0.933399,2.636375
197,1970,2.657202,1.729078,1.317413,-4.461651,-1.134739,2.512875
198,1980,2.657202,1.729078,1.317413,-4.461651,-1.134739,2.512875
199,1990,3.5807005,2.4920134999999997,2.49499,-4.934692,-0.817242,2.106991
200,2000,3.662462,2.961814,3.833404,-4.545898,0.666637,0.577183
201,2010,3.662462,2.961814,3.833404,-4.545898,0.666637,0.577183
202,2020,3.706877,3.111663,4.210973,-4.100494,0.429115,0.410023
203,2030,3.706877,3.111663,4.210973,-4.100494,0.429115,0.410023
204,2040,4.02953,3.45312,4.942391,-2.006187,-0.833263,-0.182247
205,2050,4.02953,3.45312,4.942391,-2.006187,-0.833263,-0.182247
206,2060,4.334356,3.545856,4.5629,0.360756,-1.860123,-0.999355
207,2070,4.402214,3.476288,4.299069,0.915775,-2.035961,-1.301899
208,2080,4.402214,3.476288,4.299069,1.257706,-0.978127,-3.052139
209,2090,4.4286945,3.119111,3.4529215000000004,0.596743,-0.06468799999999997,-3.5064884999999997
210,2100,3.497229,1.882834,2.583574,-0.459423,2.786579,-4.398632
211,2110,3.497229,1.882834,2.583574,-0.459423,2.786579,-4.398632
212,2120,2.8813645,1.3409175,2.973093,-0.2715015,2.2293570000000003,-4.286213
213,2130,2.008019,0.523449,3.147835,2.087631,2.675762,-4.459381
214,2140,1.9029505,0.4034995,2.934051,2.6847075,2.4243545,-4.45137
215,2150,1.676819,0.087577,2.295842,4.218121,1.643429,-4.441223
216,2160,1.705848,-0.172346,1.730116,5.140572,0.799751,-4.531746
217,2170,1.705848,-0.172346,1.730116,5.140572,0.799751,-4.531746
218,2180,1.705848,-0.172346,1.730116,5.140572,0.799751,-4.531746
219,2190,1.7803,-0.349546,1.430174,5.569954,0.112686,-4.941902
220,2200,1.906736,-0.630929,1.118022,5.569954,0.112686,-4.941902
221,2210,1.947487,-0.813257,0.956939,5.52309,0.152073,-5.362606
222,2220,1.947487,-0.813257,0.956939,5.331364,0.367298,-5.622559
223,2230,1.9054995,-1.141877,0.6954435,5.095377,0.5899335,-5.7680229999999995
224,2240,1.8945254999999999,-1.236689,0.6404065,4.288349,1.254635,-6.043396
225,2250,1.891595,-1.297694,0.605501,4.288349,1.254635,-6.043396
226,2260,1.843274,-1.306974,0.657241,4.093952,1.392088,-6.067896
227,2270,1.843274,-1.306974,0.657241,3.899555,1.529541,-6.092396
228,2280,1.843274,-1.306974,0.657241,3.899555,1.529541,-6.092396
229,2290,1.7636935,-1.3174744999999999,1.15891,3.136921,1.59977,-5.813217
230,2300,1.770287,-1.320649,1.191496,3.191128,1.607246,-5.738716
231,2310,1.840099,-1.32944,1.224921,3.191128,1.607246,-5.738716
232,2320,1.881339,-1.344794,1.200745,3.456421,1.672268,-5.609875
233,2330,1.881339,-1.344794,1.200745,3.63533,1.832085,-5.589581
