id,timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
0,0.0,-0.1261776,0.33094162,1.073852,0.46975538,-1.2797627,0.029932396
1,0.01,-0.051007964,0.3380193,1.023576,0.62460971,-2.58609805,-0.213497407
2,0.02,-0.051007964,0.3380193,1.023576,0.65240407,-3.232088,-0.38912117
3,0.03,-0.0053692595,0.20012695,0.77317333,0.65240407,-3.232088,-0.38912117
4,0.04,-0.067359805,0.19378147,0.57451075,0.15088372,-3.993226,-0.68661255
5,0.05,-0.19817449,0.048323333,0.8090498,-0.10995574,-4.2106943,-0.6542367
6,0.06,-0.19817449,0.048323333,0.8090498,0.602924,-0.68539083,-0.20219639
7,0.07,0.17206035499999997,-0.0159857485,1.0096649,0.7742717,-0.31520648,-0.240680905
8,0.08,0.5422952,-0.08029483,1.21028,0.9456194,0.05497787,-0.27916542
9,0.09,0.5422952,-0.08029483,1.21028,1.0818423,0.43249258,-0.32620203
10,0.1,0.41148052,-0.016595893,0.9864794,0.92057395,0.17104226,-0.50579643
11,0.11,0.238443925,0.08505395,0.6718896,0.828944125,-0.041538837499999995,-0.777936875
12,0.12,0.011714748,0.2072046,0.2831064,0.4905248,-0.698219,-1.133155
13,0.13,0.0017084008,0.21794313,0.23819989,0.4905248,-0.698219,-1.133155
14,0.14,-0.007321717,0.22648512,0.27139166,0.4905248,-0.698219,-1.133155
15,0.15,-0.07590181,0.26699865,0.622346,-0.8063421,-1.6884315,-1.5234979
16,0.16,-0.07590181,0.26699865,0.622346,-0.8063421,-1.6884315,-1.5234979
17,0.17,-0.07590181,0.26699865,0.622346,-0.893085,-1.3451253,-1.4459181
18,0.18,-0.062478654,0.29482117,0.8449261,-0.86437434,-0.14966199,-1.1111639
19,0.19,-0.017328065,0.27310005,0.9359596,-0.77824235,0.15943582,-0.8943067
20,0.2,0.059305906,0.18450728,0.9830626,-0.70616025,0.16493362,-0.7244862
