id,timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
0,0.0,-0.30116664,0.60819063,0.75633341,0.46120326,-0.144775068,0.07513642749999999
1,0.01,-0.35363895,0.67018116,0.71020657,0.63163465,-0.5308419,0.053145275
2,0.02,-0.3180066,0.6474839,0.6867771,0.54244834,-0.42577308,0.049480084
3,0.03,-0.3180066,0.6474839,0.6867771,0.54244834,-0.42577308,0.049480084
4,0.04,-0.2633378,0.64943635,0.64162654,0.19975294,0.16187929,0.093462385
5,0.05,-0.31654227,0.6384538,0.6657882,-0.055588737,0.59498274,0.1282817
6,0.06,-0.38683072,0.6653,0.6782351,-0.1142318,0.61453044,0.15088372
7,0.07,-0.38683072,0.6653,0.6782351,-0.1142318,0.61453044,0.15088372
8,0.08,-0.42587993,0.7387613,0.5374141,-0.11484267,0.13194689,0.20708331
9,0.09,-0.42685616,0.73510045,0.49958518,-0.11484267,0.13194689,0.20708331
10,0.1,-0.43930307,0.73388016,0.46419686,-0.20341812,-0.93767816,0.05009095
11,0.11,-0.460536,0.6501685,0.41074833,-0.3268129,-1.7825048,-0.2321288
12,0.12,-0.47591165,0.5976962,0.417826,-0.45875978,-2.1398609,-0.2968805
13,0.13,-0.5112999,0.62478656,0.5193538,-0.6102544,-2.4941628,-0.23090707
14,0.14,-0.6469958,0.7124031,0.73339206,-0.64568454,-2.4587326,-0.14049901
15,0.15,-0.5994046,0.6540734,0.70996255,-0.63407815,-1.6432275,0.17470746
16,0.16,-0.5994046,0.6540734,0.70996255,-0.63407815,-1.6432275,0.17470746
17,0.17,-0.5994046,0.6540734,0.70996255,-0.63407815,-1.6432275,0.17470746
18,0.18,-0.41538543,0.643823,0.77024466,-0.6059783,-0.40561453,0.63591075
19,0.19,-0.23868799,0.72045696,0.8449261,-0.3585779,-0.6609562,0.79473567
20,0.2,-0.27529657,0.73607665,0.8942258,-0.19486602,-1.1691961,0.7611381
21,0.21,-0.36755022,0.73583263,0.9174112,0.058643065,-1.9352211,0.64751714
22,0.22,-0.36755022,0.73583263,0.9174112,0.058643065,-1.9352211,0.64751714
23,0.23,-0.43198135,0.7465711,0.94816244,1.1270463,-2.3554964,0.25289822
24,0.24,-0.6828722,0.8117344,1.002099,1.1270463,-2.3554964,0.25289822
25,0.25,-0.6828722,0.8117344,1.002099,1.5259414,-2.0952678,0.24556783
26,0.26,-0.6914142,0.7294871,0.8180799,2.1160371,-1.5155567,0.64934975
27,0.27,-0.6914142,0.7294871,0.8180799,2.1160371,-1.5155567,0.64934975
28,0.28,-0.4356422,0.66700846,0.8278422,2.4526238,-1.0372492,1.1710287
29,0.29,-0.3653537,0.6399181,0.88226694,2.837469,-1.1753048,1.4129313
30,0.3,-0.32215557,0.5400987,0.8776299,3.0665436,-1.427592,1.4715744
31,0.31,-0.2806658,0.53058046,0.84053314,3.689626,-2.2223277,1.5173893
32,0.32,-0.2403964,0.5193538,0.7873287,3.9645154,-2.4367414,1.5479325
33,0.33,-0.21477038,0.50946949,0.754747025,4.1441098,-2.4978279,1.57267255
34,0.34,-0.18914436,0.49958518,0.72216535,4.3237042,-2.5589144,1.5974126
35,0.35,-0.006833603,0.40708748,0.49250755,5.117218,-2.271197,1.7238617
36,0.36,-0.006833603,0.40708748,0.49250755,5.2082370000000004,-2.20888875,1.7620408
37,0.37,-0.006833603,0.40708748,0.49250755,5.299256,-2.1465805,1.8002199
38,0.38,0.007321717500000001,0.40525705,0.340093785,5.6743272000000005,-2.4193318,1.8115209
39,0.39,0.021477038,0.40342662,0.18768002,6.0493984,-2.6920831,1.8228219
40,0.4,0.034534099,0.38194957500000004,0.16949776,6.2900796,-2.9767463,1.7525724
41,0.41,0.04759116,0.36047253,0.1513155,6.2900796,-2.9767463,1.7525724
42,0.42,0.04759116,0.36047253,0.1513155,6.500828,-3.345098,1.7342464
43,0.43,0.20696054,0.3082443,-0.01854835,6.500828,-3.345098,1.7342464
44,0.44,0.5108118,0.3619369,-0.30604777,5.9968643,-2.9651399,1.709201
45,0.45,0.6181969700000001,0.35400504,-0.38036322,5.4953438000000006,-2.51645935,1.40834985
46,0.46,0.5710939,0.37609223,-0.26114124,5.1563134,-2.234545,1.0977248
47,0.47,0.49031103,0.3973252,-0.15326795,5.1147747,-2.2693644,0.9932669
48,0.48,0.34290043,0.36852646,-0.030751213,5.404325,-2.5466971,0.97066486
49,0.49,0.3901865275,0.36266907,-0.2136721265,5.552001575,-2.5636487,1.003193455
50,0.5,0.437472625,0.35681167999999996,-0.39659304,5.69967815,-2.5806003000000004,1.03572205
51,0.51,0.5208182,0.3607166,-0.6794554,5.4208183,-1.9162843,1.1282681
52,0.52,0.58891016,0.41416514,-0.839801,5.0115385,-1.5326608,1.1191051
53,0.53,0.6203935,0.45907167,-0.95011485,4.511851,-1.1905763,1.0855075
54,0.54,0.6147802,0.4893348,-1.0211354,3.9828415,-0.93401295,1.0525209
55,0.55,0.6147802,0.4893348,-1.0211354,3.1465669,-0.62980205,1.0824533
56,0.56,0.686289,0.532777,-1.0472497,2.7885997,-0.5271767,1.1227703
57,0.57,0.705996615,0.5573657375000001,-1.089166475,2.4865269,-0.4115704575,1.18003895
58,0.58,0.72570423,0.5819544750000001,-1.13108325,2.1844541,-0.295964215,1.2373075999999998
59,0.59,0.86982006,0.6357691,-1.2571388,1.5070046,-0.080634214,1.400714
60,0.6,0.86982006,0.6357691,-1.2571388,1.5070046,-0.080634214,1.400714
61,0.61,1.0179628,0.68384844,-1.4335922,0.63713247,0.22602014,1.4306464
62,0.62,1.104603,0.716064,-1.4553133,0.080634214,0.4251622,1.3836098
63,0.63,1.3449996,0.767316,-1.3576905,-0.8063421,0.49480084,1.0598512
64,0.64,1.4213893,0.7580418,-1.2688537,-1.1948525,0.37934732,0.7287622
65,0.65,1.4099188,0.74583894,-1.1766,-1.5137241,0.23640485,0.36774087
66,0.66,1.3442672,0.7492558,-1.0575,-1.745242,0.11484267,0.07452556
67,0.67,1.2871579,0.74291027,-0.9535317,-1.745242,0.11484267,0.07452556
68,0.68,1.2871579,0.74291027,-0.9535317,-1.745242,0.11484267,0.07452556
69,0.69,1.2656809,0.65919864,-0.66798466,-1.9639318,-0.16737708,-0.49480084
70,0.7,1.2656809,0.65919864,-0.66798466,-1.9639318,-0.16737708,-0.49480084
71,0.71,1.1956364,0.6023333,-0.41880223,-1.5754215,-0.10629055,-0.7910705
